movieID,role,kind,title,year,aspect_ratio,genres,runtimes,rating,votes,color_info,plot_outline,language_codes,country_codes,budget,arithmetic_mean,demographic,number_of_votes,median
0043045,actor,movie,Three Secrets,1950,1.37 : 1,[u'Drama'],[u'98'],7.1,326,[u'Black and White'],A five-year-old boy is the sole survivor of a devastating plane crash in the mountains of California...,[u'en'],[u'us'],,7.2,"{u'aged 45+': (173, 6.9), u'imdb staff': (1, 8.0), u'aged 30-44': (68, 7.4), u'females': (44, 7.3), u'females aged 30-44': (12, 7.5), 'all votes': (326, 7.1), u'females aged 45+': (25, 7.3), u'males': (216, 7.0), u'males aged 18-29': (8, 7.0), u'aged 18-29': (15, 7.0), u'males aged 30-44': (56, 7.3), u'non-us users': (153, 6.7), u'females aged 18-29': (7, 7.1), u'us users': (92, 7.6), u'top 1000 voters': (55, 6.6), u'males aged 45+': (147, 6.8)}","{1: 3, 2: 1, 3: 6, 4: 14, 5: 29, 6: 31, 7: 109, 8: 69, 9: 26, 10: 38}",7
0042792,actor,movie,No Way Out,1950,1.37 : 1,"[u'Crime', u'Drama', u'Film-Noir', u'Thriller']",[u'106'],7.5,3214,[u'Black and White'],"A black doctor is assigned to treat two racist White, robbery suspects who are brothers, and when one dies, it causes tension that could start a race riot.","[u'en', u'ase']",[u'us'],,7.5,"{u'aged 45+': (1305, 7.5), u'imdb staff': (1, 7.0), u'aged 30-44': (1010, 7.4), u'females': (445, 7.7), u'females aged 30-44': (151, 7.7), 'all votes': (3214, 7.5), u'females aged 45+': (199, 7.7), u'males': (2236, 7.4), u'aged 18-29': (336, 7.5), u'males aged 18-29': (250, 7.5), u'males aged 30-44': (843, 7.4), u'non-us users': (1174, 7.3), u'females aged 18-29': (85, 7.7), u'us users': (1380, 7.6), u'females under 18': (1, 9.0), u'aged under 18': (1, 9.0), u'top 1000 voters': (262, 7.3), u'males aged 45+': (1093, 7.4)}","{1: 31, 2: 18, 3: 21, 4: 45, 5: 121, 6: 322, 7: 979, 8: 1010, 9: 412, 10: 255}",8
0042315,actor,movie,The Cariboo Trail,1950,1.37 : 1,[u'Western'],[u'81'],5.9,434,[u'(Cinecolor)'],Montanans Jim Redfern and Mike Evans head into Canada's British Columbia via the Cariboo Trail intent to raise cattle and dig for gold but find trouble instead.,[u'en'],[u'us'],,6.0,"{u'aged 45+': (262, 5.9), u'aged 30-44': (63, 5.8), u'females': (32, 6.1), u'females aged 30-44': (10, 5.7), 'all votes': (434, 5.9), u'females aged 45+': (18, 6.0), u'males': (308, 5.8), u'males aged 18-29': (7, 5.3), u'aged 18-29': (10, 6.4), u'males aged 30-44': (53, 5.8), u'non-us users': (148, 5.6), u'females aged 18-29': (3, 8.7), u'us users': (181, 6.0), u'top 1000 voters': (90, 5.5), u'males aged 45+': (240, 5.9)}","{1: 5, 2: 6, 3: 13, 4: 43, 5: 86, 6: 138, 7: 80, 8: 26, 9: 15, 10: 22}",6
0042669,actor,movie,The Lawless,1950,1.37 : 1,"[u'Crime', u'Drama', u'Film-Noir', u'Thriller']",[u'83'],6.9,307,[u'Black and White'],"A newspaper editor in a small agricultural town finds himself going against the people in the town when he gets involved in the plight of the area's fruit pickers, who are mostly Mexican.","[u'en', u'es']",[u'us'],,6.9,"{u'aged 45+': (157, 7.0), u'aged 30-44': (83, 6.8), u'females': (15, 6.8), u'females aged 30-44': (5, 6.9), 'all votes': (307, 6.9), u'females aged 45+': (8, 6.9), u'males': (242, 6.9), u'males aged 18-29': (16, 6.7), u'aged 18-29': (18, 6.6), u'males aged 30-44': (76, 6.8), u'non-us users': (136, 6.8), u'females aged 18-29': (2, 6.0), u'us users': (119, 7.0), u'top 1000 voters': (63, 7.1), u'males aged 45+': (146, 7.0)}","{1: 4, 2: 5, 3: 4, 4: 9, 5: 33, 6: 53, 7: 101, 8: 41, 9: 26, 10: 31}",7
0042531,actor,movie,The Gunfighter,1950,1.37 : 1,[u'Western'],[u'85'],7.7,7486,[u'Black and White'],"Notorious gunfighter Jimmy Ringo rides into town to find his true love, who doesn't want to see him. He hasn't come looking for trouble, but trouble finds him around every corner.",[u'en'],[u'us'],,7.7,"{u'aged 45+': (2805, 7.8), u'imdb staff': (1, 7.0), u'aged 30-44': (2454, 7.6), u'females': (557, 7.4), u'females aged 30-44': (199, 7.2), 'all votes': (7486, 7.7), u'females aged 45+': (251, 7.7), u'males': (5571, 7.7), u'males aged 18-29': (686, 7.8), u'males under 18': (7, 7.6), u'aged 18-29': (786, 7.8), u'males aged 30-44': (2233, 7.7), u'non-us users': (3218, 7.6), u'females aged 18-29': (95, 7.2), u'us users': (2601, 7.9), u'females under 18': (2, 5.0), u'aged under 18': (9, 7.2), u'top 1000 voters': (343, 7.5), u'males aged 45+': (2529, 7.8)}","{1: 85, 2: 42, 3: 38, 4: 82, 5: 284, 6: 599, 7: 1758, 8: 2571, 9: 1162, 10: 865}",8
0043129,actor,movie,When Willie Comes Marching Home,1950,1.37 : 1,"[u'Comedy', u'War']",[u'82'],6.6,507,[u'Black and White'],"Willie Kluggs enters the service with hopes of going overseas, but his uncanny marksmanship keeps him at home as a shooting instructor... much to his embarrassment.","[u'en', u'fr']",[u'us'],,6.6,"{u'aged 45+': (261, 6.5), u'aged 30-44': (123, 6.6), u'females': (32, 6.1), u'females aged 30-44': (12, 6.3), 'all votes': (507, 6.6), u'females aged 45+': (17, 5.8), u'males': (389, 6.6), u'aged 18-29': (36, 6.8), u'males under 18': (1, 7.0), u'males aged 18-29': (33, 6.8), u'males aged 30-44': (110, 6.7), u'non-us users': (158, 6.4), u'females aged 18-29': (3, 7.3), u'us users': (252, 6.7), u'aged under 18': (1, 7.0), u'top 1000 voters': (97, 6.3), u'males aged 45+': (242, 6.5)}","{1: 11, 2: 4, 3: 9, 4: 16, 5: 53, 6: 131, 7: 166, 8: 57, 9: 35, 10: 25}",7
0041227,actor,movie,Captain China,1950,1.37 : 1,"[u'Action', u'Adventure', u'Romance', u'Thriller']",[u'USA:97'],6.2,69,[u'Black and White'],"Charles Chinnough, aka Captain China, washed ashore off his ship during a storm, is later rescued, but is relieved of duty when his former first mate...",[u'en'],[u'us'],,6.2,"{u'aged 45+': (48, 6.5), u'aged 30-44': (9, 5.6), u'females': (5, 6.2), u'females aged 30-44': (1, 7.0), 'all votes': (69, 6.2), u'females aged 45+': (3, 6.0), u'males': (52, 6.3), u'males aged 18-29': (1, 1.0), u'aged 18-29': (2, 3.5), u'males aged 30-44': (7, 5.6), u'non-us users': (35, 6.4), u'females aged 18-29': (1, 6.0), u'us users': (22, 6.3), u'top 1000 voters': (33, 7.0), u'males aged 45+': (44, 6.4)}","{1: 5, 2: 2, 3: 5, 4: 3, 5: 9, 6: 11, 7: 11, 8: 10, 9: 6, 10: 7}",6
0041996,actor,movie,Twelve O'Clock High,1949,1.37 : 1,"[u'Drama', u'War']",[u'132'],7.8,10704,"[u'Black and White::(archive footage)', u'Black and White']",A hard-as-nails general takes over a bomber unit suffering from low morale and whips them into fighting shape.,[u'en'],[u'us'],,7.9,"{u'aged 45+': (4682, 8.0), u'imdb staff': (1, 8.0), u'aged 30-44': (2965, 7.4), u'females': (1122, 7.8), u'females aged 30-44': (344, 7.3), 'all votes': (10704, 7.8), u'females aged 45+': (610, 8.2), u'males': (7501, 7.7), u'males aged 18-29': (713, 7.6), u'males under 18': (5, 8.0), u'aged 18-29': (866, 7.6), u'males aged 30-44': (2601, 7.4), u'non-us users': (3092, 7.4), u'females aged 18-29': (145, 7.5), u'us users': (5003, 8.0), u'females under 18': (1, 5.0), u'aged under 18': (6, 7.4), u'top 1000 voters': (342, 7.3), u'males aged 45+': (4017, 8.0)}","{1: 127, 2: 43, 3: 65, 4: 144, 5: 338, 6: 829, 7: 2147, 8: 2909, 9: 1989, 10: 2113}",8
0041824,actor,movie,Roseanna McCoy,1949,1.37 : 1,[u'Drama'],[u'89'],5.8,154,[u'Black and White'],The saga of the Hatfield-and-McCoy feud is romanticized in Samuel Goldwyn's Roseanna McCoy. Newcomer Joan Evans stars as the title character...,[u'en'],[u'us'],,6.1,"{u'aged 45+': (82, 5.6), u'aged 30-44': (25, 5.9), u'females': (17, 5.7), u'females aged 30-44': (5, 5.3), 'all votes': (154, 5.8), u'females aged 45+': (11, 6.0), u'males': (100, 5.8), u'males aged 18-29': (7, 7.7), u'aged 18-29': (8, 7.3), u'males aged 30-44': (20, 6.0), u'non-us users': (40, 5.7), u'females aged 18-29': (1, 5.0), u'us users': (72, 5.8), u'top 1000 voters': (32, 5.4), u'males aged 45+': (70, 5.6)}","{1: 3, 2: 3, 3: 5, 4: 15, 5: 38, 6: 28, 7: 29, 8: 15, 9: 6, 10: 12}",6
0041650,actor,movie,Mighty Joe Young,1949,1.37 : 1,"[u'Adventure', u'Drama', u'Fantasy', u'Sci-Fi']","[u'94', u'USA:84']",7.0,3706,"[u'Black and White::(Sepiatone) (some sequences)', u'Black and White']",A young woman who has raised a giant gorilla from an infant brings him to Hollywood years later seeking her fortune in order to save her family's ranch.,"[u'en', u'sw']",[u'us'],"[u'$1,800,000 (estimated)']",7.1,"{u'aged 45+': (1657, 7.0), u'imdb staff': (2, 6.0), u'aged 30-44': (940, 6.9), u'females': (293, 7.0), u'females aged 30-44': (84, 7.1), 'all votes': (3706, 7.0), u'females aged 45+': (170, 7.0), u'males': (2610, 7.0), u'aged 18-29': (283, 7.1), u'males under 18': (3, 7.7), u'males aged 18-29': (249, 7.2), u'males aged 30-44': (843, 6.9), u'non-us users': (946, 6.7), u'females aged 18-29': (32, 6.7), u'us users': (1827, 7.2), u'aged under 18': (3, 7.7), u'top 1000 voters': (267, 6.7), u'males aged 45+': (1466, 7.0)}","{1: 29, 2: 33, 3: 52, 4: 91, 5: 256, 6: 674, 7: 1213, 8: 708, 9: 297, 10: 353}",7
