role,kind,title,year,runtime,genres,plot outline,rating,total votes,votes/rating,demographic,certificates,metascore,mpaa,color info,trivia,rentals
actor,movie,What Price Glory,1952,[u'111'],"[u'Comedy', u'Drama', u'Musical', u'Romance', u'War']","The wartime romantic misadventures of Captain Flagg, commander of a company of US Marines in 1918 France.",6.3,936,"{1: 25, 2: 15, 3: 21, 4: 56, 5: 119, 6: 232, 7: 273, 8: 90, 9: 44, 10: 61}","{u'aged 45+': (495, 6.3), u'aged 30-44': (198, 6.3), u'females': (62, 6.1), u'females aged 30-44': (20, 5.9), 'all votes': (936, 6.3), u'females aged 45+': (37, 6.1), u'males': (700, 6.3), u'males aged 18-29': (59, 6.3), u'aged 18-29': (64, 6.4), u'males aged 30-44': (177, 6.3), u'non-us users': (309, 6.1), u'females aged 18-29': (5, 7.1), u'us users': (430, 6.4), u'top 1000 voters': (118, 6.1), u'males aged 45+': (452, 6.3)}","[u'da:PG::(video rating)', u'Finland:K-16', u'Spain:T', u'Sweden:15', u'UK:U', u'UK:A::(original rating)', u'UK:U::(re-rating) (1991)', u'USA:Approved::(certificate #15706)']",,,[u'Color::(Technicolor)'],,
actor,movie,Confidence Girl,1952,[u'81'],"[u'Crime', u'Drama']","Two conartists swindle a Los Angeles department store out of a mink coat, cheat a pawnbroker out of $8000 and leave the police baffled.",6.0,121,"{1: 1, 2: 3, 3: 3, 4: 12, 5: 22, 6: 34, 7: 24, 8: 14, 9: 3, 10: 5}","{u'aged 45+': (86, 6.0), u'aged 30-44': (12, 6.3), u'females': (13, 6.6), 'all votes': (121, 6.0), u'females aged 45+': (9, 6.8), u'males': (86, 6.0), u'females aged 30-44': (1, 1.0), u'aged 18-29': (3, 7.7), u'males aged 30-44': (11, 6.8), u'non-us users': (15, 5.9), u'females aged 18-29': (3, 7.7), u'us users': (87, 6.1), u'top 1000 voters': (24, 6.0), u'males aged 45+': (73, 5.9)}","[u'UK:A', u'USA:Not Rated']",,,[u'Black and White'],,
actor,movie,Without Warning!,1952,[u'77'],"[u'Crime', u'Drama', u'Film-Noir', u'Thriller']","Quiet, unobtrusive LA citizen Carl Martin picks up look-alikes for his estranged blonde wife and murders them with garden shears.",6.7,322,"{1: 3, 2: 4, 3: 4, 4: 14, 5: 30, 6: 72, 7: 115, 8: 36, 9: 23, 10: 21}","{u'aged 45+': (170, 6.8), u'aged 30-44': (84, 6.4), u'females': (32, 6.5), u'females aged 30-44': (11, 6.5), 'all votes': (322, 6.7), u'females aged 45+': (16, 6.7), u'males': (234, 6.7), u'males aged 18-29': (11, 6.6), u'aged 18-29': (16, 6.4), u'males aged 30-44': (73, 6.4), u'non-us users': (125, 6.4), u'females aged 18-29': (5, 5.9), u'us users': (125, 6.7), u'top 1000 voters': (41, 6.5), u'males aged 45+': (148, 6.8)}","[u'Finland:(Banned)::(1952)', u'Italy:VM16', u'Norway:16', u'Sweden:15', u'USA:Passed::(National Board of Review)', u'USA:Approved::(PCA #15666)', u'West Germany:18::(nf)']",,,[u'Black and White'],,
actor,movie,Red Skies of Montana,1952,[u'99'],"[u'Action', u'Adventure', u'Drama', u'Romance']",Drama dealing with the hazardous work of the U. S. Forest Service's paratroop fire-fighters in Montana.,6.6,334,"{1: 1, 2: 3, 3: 3, 4: 16, 5: 39, 6: 81, 7: 90, 8: 52, 9: 15, 10: 34}","{u'aged 45+': (210, 6.6), u'aged 30-44': (41, 6.2), u'females': (33, 6.4), u'females aged 30-44': (8, 6.3), 'all votes': (334, 6.6), u'females aged 45+': (22, 6.1), u'males': (236, 6.6), u'males aged 18-29': (11, 6.5), u'aged 18-29': (13, 6.9), u'males aged 30-44': (33, 6.1), u'non-us users': (120, 6.2), u'females aged 18-29': (2, 8.5), u'us users': (137, 6.9), u'top 1000 voters': (55, 6.4), u'males aged 45+': (185, 6.6)}","[u'Australia:PG', u'Finland:K-16', u'Sweden:15', u'UK:A', u'USA:Passed::(National Board of Review)', u'USA:Approved::(certificate #15408)', u'West Germany:12::(f)']",,,[u'Color::(Technicolor)'],,
actor,movie,Indian Uprising,1952,[u'75'],[u'Western'],"In 1885 Arizona, prospectors illegally dig for gold on Apache lands, triggering an Apache retaliation against white settlers and trespassing miners, while the Army tries keeping the peace.",6.0,143,"{1: 1, 2: 3, 3: 6, 4: 9, 5: 29, 6: 46, 7: 34, 8: 6, 9: 3, 10: 6}","{u'aged 45+': (85, 6.0), u'aged 30-44': (26, 5.8), u'females': (5, 5.6), 'all votes': (143, 6.0), u'females aged 45+': (4, 6.0), u'males': (111, 6.0), u'males aged 18-29': (3, 7.0), u'aged 18-29': (4, 6.8), u'males aged 30-44': (26, 5.8), u'non-us users': (58, 5.7), u'females aged 18-29': (1, 6.0), u'us users': (52, 6.3), u'top 1000 voters': (33, 5.5), u'males aged 45+': (80, 6.0)}","[u'Finland:K-16', u'Sweden:15', u'UK:U::(passed with cuts)', u'UK:U::(tv rating)', u'USA:Approved::(certificate #15296)', u'West Germany:12::(nf)']",,,[u'Color::(Supercinecolor)'],,
actor,tv series,Adventures of Wild Bill Hickok,1951,[u'30::(113 episodes)'],[u'Western'],"Hickok rode Buckshot and 300-pound Jingles rode Joker. Jingles described Hickok as ""the bravest, Strongest, fightingest U.S. Marshal in the whole West."" And that's about it: he beat up all the bad guys and somehow kept his good looks.",8.0,120,"{1: 1, 2: 0, 3: 1, 4: 3, 5: 3, 6: 11, 7: 19, 8: 33, 9: 16, 10: 33}","{u'aged 45+': (89, 7.9), u'aged 30-44': (7, 8.2), u'females': (13, 7.7), u'females aged 30-44': (3, 9.3), 'all votes': (120, 8.0), u'females aged 45+': (8, 8.2), u'males': (89, 7.9), u'males aged 18-29': (2, 8.5), u'aged 18-29': (3, 6.0), u'males aged 30-44': (4, 8.0), u'non-us users': (13, 7.7), u'females aged 18-29': (1, 1.0), u'us users': (84, 7.9), u'top 1000 voters': (25, 7.6), u'males aged 45+': (80, 7.9)}",,,,"[u'Black and White', u'Color']",,
actor,movie,The Wild Blue Yonder,1951,[u'98'],"[u'Drama', u'War']",Training Boeing B-29 Superfortress Crew.,6.6,68,"{1: 1, 2: 0, 3: 0, 4: 5, 5: 11, 6: 17, 7: 16, 8: 11, 9: 2, 10: 5}","{u'aged 45+': (45, 6.5), u'aged 30-44': (6, 5.7), u'females': (2, 8.0), 'all votes': (68, 6.6), u'females aged 45+': (1, 10.0), u'males': (51, 6.4), u'males aged 18-29': (2, 4.0), u'aged 18-29': (3, 4.7), u'males aged 30-44': (6, 5.7), u'non-us users': (27, 6.1), u'females aged 18-29': (1, 6.0), u'us users': (24, 6.7), u'top 1000 voters': (15, 6.3), u'males aged 45+': (43, 6.5)}","[u'Finland:K-16', u'Germany:16', u'UK:U', u'USA:Approved', u'West Germany:16::(f) (cut)']",,,[u'Black and White'],,
actor,movie,Silver City,1951,[u'90'],[u'Western'],"Having masterminded the hold up of his company office, a mining engineer is barred from the industry. He then sets up shop as an assayer, scheming to acquire a rich silver mine lease from its operators.",5.8,141,"{1: 3, 2: 2, 3: 9, 4: 11, 5: 28, 6: 44, 7: 26, 8: 7, 9: 6, 10: 5}","{u'males aged 30-44': (20, 5.6), u'females': (2, 6.5), u'females aged 30-44': (2, 6.5), 'all votes': (141, 5.8), u'males': (113, 6.0), u'males aged 18-29': (3, 7.3), u'aged 18-29': (3, 7.3), u'aged 30-44': (23, 5.6), u'non-us users': (56, 6.1), u'aged 45+': (89, 6.0), u'us users': (56, 5.8), u'top 1000 voters': (34, 5.8), u'males aged 45+': (88, 6.0)}","[u'Finland:(Banned)::(1952)', u'Sweden:15', u'USA:Approved::(PCA #13362)']",,,[u'Color::(Technicolor)'],,
actor,tv series,The Cisco Kid,1950,[u'30::(156 episodes)'],[u'Western'],The Cisco Kid and his English-mangling sidekick Pancho travel the old west in the grand tradition of the Lone Ranger...,7.4,391,"{1: 5, 2: 6, 3: 6, 4: 14, 5: 20, 6: 48, 7: 80, 8: 82, 9: 44, 10: 86}","{u'aged 45+': (257, 7.5), u'aged 30-44': (57, 6.8), u'females': (53, 7.8), u'females aged 30-44': (19, 7.7), 'all votes': (391, 7.4), u'females aged 45+': (29, 7.5), u'males': (275, 7.3), u'aged 18-29': (8, 9.0), u'males aged 18-29': (4, 8.2), u'males aged 30-44': (36, 6.2), u'non-us users': (46, 6.8), u'females aged 18-29': (4, 9.8), u'us users': (251, 7.5), u'females under 18': (1, 8.0), u'aged under 18': (1, 8.0), u'top 1000 voters': (52, 7.1), u'males aged 45+': (226, 7.5)}",[u'USA:Approved'],,,"[u'Black and White', u'Color']",,
actor,movie,The Tanks Are Coming,1951,[u'90'],"[u'Action', u'Drama', u'War']",An American tank crew fights its way into Germany in World War II.,6.4,188,"{1: 2, 2: 2, 3: 3, 4: 10, 5: 28, 6: 48, 7: 52, 8: 22, 9: 11, 10: 10}","{u'aged 45+': (133, 6.5), u'aged 30-44': (22, 5.8), u'females': (10, 7.0), u'females aged 30-44': (3, 7.0), 'all votes': (188, 6.4), u'females aged 45+': (5, 6.3), u'males': (152, 6.4), u'males aged 18-29': (6, 5.1), u'aged 18-29': (8, 6.1), u'males aged 30-44': (18, 5.7), u'non-us users': (50, 6.0), u'females aged 18-29': (2, 8.0), u'us users': (105, 6.6), u'top 1000 voters': (35, 6.2), u'males aged 45+': (125, 6.5)}","[u'Argentina:13', u'Australia:PG', u'Finland:K-16', u'Sweden:15']",,,[u'Black and White'],,
actor,movie,Father Takes the Air,1951,[u'61'],[u'Comedy'],"This entry in Monogram's ""Latham Family Series"" finds Barbara Latham (), the daughter...",5.1,7,"{1: 1, 2: 0, 3: 1, 4: 0, 5: 1, 6: 1, 7: 3, 8: 0, 9: 0, 10: 0}","{u'us users': (4, 5.2), u'males': (7, 5.0), 'all votes': (7, 5.1), u'top 1000 voters': (3, 6.3), u'aged 45+': (7, 5.0), u'non-us users': (3, 5.0), u'males aged 45+': (7, 5.0)}","[u'USA:Passed::(National Board of Review)', u'USA:Approved::(PCA #15265)']",,,[u'Black and White'],,
actor,movie,The Frogmen,1951,[u'96'],"[u'Adventure', u'War', u'Drama']","The new commander of a Navy Underwater Demolition Team--nicknamed ""Frogmen""--must earn the respect of the men in his unit, who are still grieving over the death of their former commander and resentful of the new one.",6.7,867,"{1: 11, 2: 4, 3: 11, 4: 32, 5: 95, 6: 202, 7: 262, 8: 126, 9: 50, 10: 74}","{u'aged 45+': (498, 6.7), u'imdb staff': (1, 6.0), u'aged 30-44': (159, 6.4), u'females': (69, 7.2), u'females aged 30-44': (21, 6.4), 'all votes': (867, 6.7), u'females aged 45+': (41, 7.5), u'males': (628, 6.6), u'males aged 18-29': (32, 6.9), u'males under 18': (1, 7.0), u'aged 18-29': (37, 7.0), u'males aged 30-44': (136, 6.4), u'non-us users': (298, 6.3), u'females aged 18-29': (5, 8.1), u'us users': (368, 6.9), u'females under 18': (1, 3.0), u'aged under 18': (2, 5.0), u'top 1000 voters': (122, 6.4), u'males aged 45+': (452, 6.7)}","[u'Argentina:13', u'Australia:G', u'Finland:K-12', u'Sweden:15', u'UK:U', u'UK:U::(tv rating)', u'USA:Approved::(MPAA rating: certificate #15030)', u'USA:Passed::(National Board of Review)', u'West Germany:12::(f)']",,,[u'Black and White'],,
actor,movie,Go for Broke!,1951,[u'92'],"[u'Drama', u'History', u'War']",The story of Japanese-American soldiers who fought in Europe during World War II.,6.8,990,"{1: 11, 2: 8, 3: 13, 4: 29, 5: 80, 6: 190, 7: 325, 8: 183, 9: 68, 10: 83}","{u'aged 45+': (534, 6.8), u'imdb staff': (1, 7.0), u'aged 30-44': (188, 6.8), u'females': (73, 7.0), u'females aged 30-44': (19, 7.1), 'all votes': (990, 6.8), u'females aged 45+': (43, 7.0), u'males': (708, 6.8), u'males aged 18-29': (42, 7.5), u'aged 18-29': (53, 7.3), u'males aged 30-44': (167, 6.8), u'non-us users': (244, 6.4), u'females aged 18-29': (11, 6.6), u'us users': (500, 7.0), u'top 1000 voters': (109, 6.6), u'males aged 45+': (484, 6.8)}","[u'Argentina:13', u'Australia:G', u'Canada:PG::(video rating)', u'Finland:K-12', u'Sweden:15', u'USA:Passed::(National Board of Review)', u'USA:Approved::(certificate #15001)']",,,[u'Black and White'],,
actor,tv series,Family Theatre,1949,[u'60'],[u'Drama'],,7.1,31,"{1: 2, 2: 2, 3: 2, 4: 0, 5: 2, 6: 2, 7: 5, 8: 4, 9: 1, 10: 11}","{u'aged 45+': (16, 7.4), u'aged 30-44': (7, 5.9), u'females': (6, 5.6), u'females aged 30-44': (1, 6.0), 'all votes': (31, 7.1), u'females aged 45+': (2, 10.0), u'males': (21, 7.0), u'males aged 18-29': (1, 7.0), u'aged 18-29': (5, 5.3), u'males aged 30-44': (6, 5.9), u'non-us users': (5, 4.0), u'females aged 18-29': (3, 4.0), u'us users': (20, 7.0), u'top 1000 voters': (10, 6.3), u'males aged 45+': (13, 7.0)}",,,,"[u'Black and White', u'Color']",,
actor,movie,Operation Pacific,1951,"[u'111', u'West Germany:98']","[u'Drama', u'War']","During WWII, a submarine's second in command inherits the problem of torpedoes that don't explode. When on shore, he is eager to win back his ex-wife.",6.7,2551,"{1: 39, 2: 13, 3: 28, 4: 76, 5: 253, 6: 585, 7: 777, 8: 371, 9: 160, 10: 249}","{u'aged 45+': (1395, 6.8), u'imdb staff': (1, 7.0), u'aged 30-44': (502, 6.6), u'females': (225, 7.1), u'females aged 30-44': (52, 7.1), 'all votes': (2551, 6.7), u'females aged 45+': (147, 7.0), u'males': (1841, 6.7), u'males aged 18-29': (119, 6.6), u'aged 18-29': (143, 6.8), u'males aged 30-44': (448, 6.5), u'non-us users': (732, 6.3), u'females aged 18-29': (22, 7.8), u'us users': (1171, 7.0), u'top 1000 voters': (200, 6.4), u'males aged 45+': (1231, 6.8)}","[u'Finland:S', u'Sweden:15', u'UK:U', u'UK:U::(video rating) (1995)', u'USA:Approved::(MPAA rating: certificate #14874)', u'West Germany:12::(nf) (cut)']",,,[u'Black and White'],,
actor,tv series,Front Page Detective,1951,[u'30'],"[u'Crime', u'Drama', u'Mystery']",A newspaper columnist who helps police solve especially difficult mysteries. The title derived from a popular mystery magazine of the same name.,6.0,23,"{1: 2, 2: 1, 3: 0, 4: 1, 5: 4, 6: 4, 7: 5, 8: 5, 9: 0, 10: 1}","{u'males aged 30-44': (2, 6.5), u'females': (3, 7.7), 'all votes': (23, 6.0), u'females aged 45+': (3, 7.7), u'males': (19, 5.6), u'males aged 18-29': (2, 6.0), u'aged 18-29': (2, 6.0), u'aged 30-44': (2, 6.5), u'non-us users': (6, 5.9), u'aged 45+': (18, 5.9), u'us users': (14, 5.8), u'top 1000 voters': (8, 5.9), u'males aged 45+': (15, 5.5)}",,,,[u'Black and White'],,
actor,movie,Tripoli,1950,[u'95'],"[u'Action', u'Adventure', u'History', u'Romance', u'War']","In 1805, the United States battles the pirates of Tripoli as the Marines fight to raise the American flag",6.0,281,"{1: 6, 2: 6, 3: 9, 4: 25, 5: 56, 6: 78, 7: 51, 8: 23, 9: 8, 10: 19}","{u'aged 45+': (163, 6.1), u'aged 30-44': (49, 5.7), u'females': (25, 5.9), u'females aged 30-44': (10, 5.7), 'all votes': (281, 6.0), u'females aged 45+': (13, 5.9), u'males': (202, 6.0), u'males aged 18-29': (9, 5.3), u'aged 18-29': (11, 5.4), u'males aged 30-44': (39, 5.7), u'non-us users': (84, 5.6), u'females aged 18-29': (2, 8.0), u'us users': (130, 6.2), u'top 1000 voters': (58, 6.0), u'males aged 45+': (147, 6.1)}","[u'Finland:S', u'Sweden:Btl', u'UK:U', u'USA:Passed::(National Board of Review)', u'USA:Approved::(PCA #15424)', u'West Germany:12::(nf)']",,,[u'Color::(Technicolor)'],,
actor,movie,Three Secrets,1950,[u'98'],[u'Drama'],A five-year-old boy is the sole survivor of a devastating plane crash in the mountains of California...,7.1,326,"{1: 3, 2: 1, 3: 6, 4: 14, 5: 29, 6: 31, 7: 109, 8: 69, 9: 26, 10: 38}","{u'aged 45+': (173, 6.9), u'imdb staff': (1, 8.0), u'aged 30-44': (68, 7.4), u'females': (44, 7.3), u'females aged 30-44': (12, 7.5), 'all votes': (326, 7.1), u'females aged 45+': (25, 7.3), u'males': (216, 7.0), u'males aged 18-29': (8, 7.0), u'aged 18-29': (15, 7.0), u'males aged 30-44': (56, 7.3), u'non-us users': (153, 6.7), u'females aged 18-29': (7, 7.1), u'us users': (92, 7.6), u'top 1000 voters': (55, 6.6), u'males aged 45+': (147, 6.8)}","[u'Finland:S', u'Sweden:15', u'UK:PG', u'UK:A::(original rating)', u'USA:Approved::(certificate #14170)', u'West Germany:16']",,,[u'Black and White'],,
actor,movie,No Way Out,1950,[u'106'],"[u'Crime', u'Drama', u'Film-Noir', u'Thriller']","A black doctor is assigned to treat two racist White, robbery suspects who are brothers, and when one dies, it causes tension that could start a race riot.",7.5,3214,"{1: 31, 2: 18, 3: 21, 4: 45, 5: 121, 6: 321, 7: 980, 8: 1010, 9: 412, 10: 255}","{u'aged 45+': (1304, 7.5), u'imdb staff': (1, 7.0), u'aged 30-44': (1011, 7.4), u'females': (445, 7.7), u'females aged 30-44': (151, 7.7), 'all votes': (3214, 7.5), u'females aged 45+': (199, 7.7), u'males': (2236, 7.4), u'aged 18-29': (336, 7.5), u'males aged 18-29': (250, 7.5), u'males aged 30-44': (844, 7.4), u'non-us users': (1174, 7.3), u'females aged 18-29': (85, 7.7), u'us users': (1380, 7.6), u'females under 18': (1, 9.0), u'aged under 18': (1, 9.0), u'top 1000 voters': (262, 7.3), u'males aged 45+': (1092, 7.4)}","[u'Argentina:16', u'Finland:K-16', u'Sweden:15', u'UK:A', u'USA:Approved::(certificate #14257)', u'West Germany:16::(f)']",,,[u'Black and White'],,
actor,movie,The Cariboo Trail,1950,[u'81'],[u'Western'],Montanans Jim Redfern and Mike Evans head into Canada's British Columbia via the Cariboo Trail intent to raise cattle and dig for gold but find trouble instead.,5.9,434,"{1: 5, 2: 6, 3: 13, 4: 43, 5: 86, 6: 138, 7: 80, 8: 26, 9: 15, 10: 22}","{u'aged 45+': (262, 5.9), u'aged 30-44': (63, 5.8), u'females': (32, 6.1), u'females aged 30-44': (10, 5.7), 'all votes': (434, 5.9), u'females aged 45+': (18, 6.0), u'males': (308, 5.8), u'males aged 18-29': (7, 5.3), u'aged 18-29': (10, 6.4), u'males aged 30-44': (53, 5.8), u'non-us users': (148, 5.6), u'females aged 18-29': (3, 8.7), u'us users': (181, 6.0), u'top 1000 voters': (90, 5.5), u'males aged 45+': (240, 5.9)}","[u'Australia:G', u'Finland:K-12', u'Sweden:15', u'UK:U::(original rating)', u'UK:PG::(tv rating)', u'UK:PG::(video rating) (2013)', u'USA:Approved::(MPAA rating: certificate #14183)', u'West Germany:12::(nf)']",,,[u'Color::(Cinecolor)'],,
actor,movie,The Lawless,1950,[u'83'],"[u'Crime', u'Drama', u'Film-Noir', u'Thriller']","A newspaper editor in a small agricultural town finds himself going against the people in the town when he gets involved in the plight of the area's fruit pickers, who are mostly Mexican.",6.9,307,"{1: 4, 2: 5, 3: 4, 4: 9, 5: 33, 6: 53, 7: 101, 8: 41, 9: 26, 10: 31}","{u'aged 45+': (157, 7.0), u'aged 30-44': (83, 6.8), u'females': (15, 6.8), u'females aged 30-44': (5, 6.9), 'all votes': (307, 6.9), u'females aged 45+': (8, 6.9), u'males': (242, 6.9), u'males aged 18-29': (16, 6.7), u'aged 18-29': (18, 6.6), u'males aged 30-44': (76, 6.8), u'non-us users': (136, 6.8), u'females aged 18-29': (2, 6.0), u'us users': (119, 7.0), u'top 1000 voters': (63, 7.1), u'males aged 45+': (146, 7.0)}","[u'Australia:PG', u'Finland:K-16', u'Norway:16', u'Sweden:15', u'USA:Not Rated']",,,[u'Black and White'],,
actor,movie,The Gunfighter,1950,[u'85'],[u'Western'],"Notorious gunfighter Jimmy Ringo rides into town to find his true love, who doesn't want to see him. He hasn't come looking for trouble, but trouble finds him around every corner.",7.7,7480,"{1: 85, 2: 42, 3: 38, 4: 82, 5: 284, 6: 599, 7: 1757, 8: 2569, 9: 1160, 10: 864}","{u'aged 45+': (2800, 7.8), u'imdb staff': (1, 7.0), u'aged 30-44': (2454, 7.6), u'females': (557, 7.4), u'females aged 30-44': (199, 7.2), 'all votes': (7480, 7.7), u'females aged 45+': (251, 7.7), u'males': (5565, 7.7), u'males aged 18-29': (685, 7.8), u'males under 18': (7, 7.6), u'aged 18-29': (785, 7.8), u'males aged 30-44': (2233, 7.7), u'non-us users': (3215, 7.6), u'females aged 18-29': (95, 7.2), u'us users': (2599, 7.9), u'females under 18': (2, 5.0), u'aged under 18': (9, 7.2), u'top 1000 voters': (343, 7.5), u'males aged 45+': (2524, 7.8)}","[u'Argentina:13', u'Australia:PG', u'Canada:G::(video rating)', u'Finland:K-12', u'France:16', u'Germany:12', u'Netherlands:14::(original rating) (1950) (one cut)', u'Norway:A', u'Sweden:15', u'UK:A::(original rating) (passed with cuts)', u'UK:U::(tv rating)', u'UK:U::(video rating) (1994)', u'USA:Not Rated', u'USA:Approved::(MPAA rating: certificate #14217)', u'West Germany:12']",,,[u'Black and White'],,
actor,movie,When Willie Comes Marching Home,1950,[u'82'],"[u'Comedy', u'War']","Willie Kluggs enters the service with hopes of going overseas, but his uncanny marksmanship keeps him at home as a shooting instructor... much to his embarrassment.",6.6,507,"{1: 11, 2: 4, 3: 9, 4: 16, 5: 53, 6: 131, 7: 166, 8: 57, 9: 35, 10: 25}","{u'aged 45+': (261, 6.5), u'aged 30-44': (123, 6.6), u'females': (32, 6.1), u'females aged 30-44': (12, 6.3), 'all votes': (507, 6.6), u'females aged 45+': (17, 5.8), u'males': (389, 6.6), u'aged 18-29': (36, 6.8), u'males under 18': (1, 7.0), u'males aged 18-29': (33, 6.8), u'males aged 30-44': (110, 6.7), u'non-us users': (158, 6.4), u'females aged 18-29': (3, 7.3), u'us users': (252, 6.7), u'aged under 18': (1, 7.0), u'top 1000 voters': (97, 6.3), u'males aged 45+': (242, 6.5)}","[u'Argentina:13', u'Finland:K-12', u'Sweden:15', u'USA:Approved::(PCA #13928)']",,,[u'Black and White'],,
actor,movie,Captain China,1950,[u'USA:97'],"[u'Action', u'Adventure', u'Romance', u'Thriller']","Charles Chinnough, aka Captain China, washed ashore off his ship during a storm, is later rescued, but is relieved of duty when his former first mate...",6.2,69,"{1: 5, 2: 2, 3: 5, 4: 3, 5: 9, 6: 11, 7: 11, 8: 10, 9: 6, 10: 7}","{u'aged 45+': (48, 6.5), u'aged 30-44': (9, 5.6), u'females': (5, 6.2), u'females aged 30-44': (1, 7.0), 'all votes': (69, 6.2), u'females aged 45+': (3, 6.0), u'males': (52, 6.3), u'males aged 18-29': (1, 1.0), u'aged 18-29': (2, 3.5), u'males aged 30-44': (7, 5.6), u'non-us users': (35, 6.4), u'females aged 18-29': (1, 6.0), u'us users': (22, 6.3), u'top 1000 voters': (33, 7.0), u'males aged 45+': (44, 6.4)}","[u'Finland:K-16', u'Norway:16', u'Sweden:15', u'USA:Passed::(National Board of Review)', u'USA:Approved::(PCA #13923)']",,,[u'Black and White'],,
actor,movie,Twelve O'Clock High,1949,[u'132'],"[u'Drama', u'War']",A hard-as-nails general takes over a bomber unit suffering from low morale and whips them into fighting shape.,7.8,10702,"{1: 127, 2: 43, 3: 65, 4: 144, 5: 338, 6: 829, 7: 2147, 8: 2907, 9: 1989, 10: 2113}","{u'aged 45+': (4682, 8.0), u'imdb staff': (1, 8.0), u'aged 30-44': (2962, 7.4), u'females': (1122, 7.8), u'females aged 30-44': (344, 7.3), 'all votes': (10702, 7.8), u'females aged 45+': (610, 8.2), u'males': (7500, 7.7), u'males aged 18-29': (715, 7.6), u'males under 18': (5, 8.0), u'aged 18-29': (868, 7.6), u'males aged 30-44': (2598, 7.4), u'non-us users': (3092, 7.4), u'females aged 18-29': (145, 7.5), u'us users': (5002, 8.0), u'females under 18': (1, 5.0), u'aged under 18': (6, 7.4), u'top 1000 voters': (342, 7.3), u'males aged 45+': (4017, 8.0)}","[u'Argentina:Atp', u'Australia:G', u'Brazil:Livre', u'Canada:PG::(Ontario)', u'Canada:G::(Quebec)', u'Canada:G::(video rating)', u'Finland:S', u'Netherlands:6', u'Norway:16', u'Spain:T', u'Sweden:15', u'UK:U', u'USA:Not Rated::(DVD Rating)', u'USA:Approved::(MPAA rating: certificate #13818)', u'USA:TV-PG::(tv rating)', u'West Germany:16']",,,"[u'Black and White::(archive footage)', u'Black and White']",,
actor,movie,Roseanna McCoy,1949,[u'89'],[u'Drama'],The saga of the Hatfield-and-McCoy feud is romanticized in Samuel Goldwyn's Roseanna McCoy. Newcomer Joan Evans stars as the title character...,5.8,154,"{1: 3, 2: 3, 3: 5, 4: 15, 5: 38, 6: 28, 7: 29, 8: 15, 9: 6, 10: 12}","{u'aged 45+': (82, 5.6), u'aged 30-44': (25, 5.9), u'females': (17, 5.7), u'females aged 30-44': (5, 5.3), 'all votes': (154, 5.8), u'females aged 45+': (11, 6.0), u'males': (100, 5.8), u'males aged 18-29': (7, 7.7), u'aged 18-29': (8, 7.3), u'males aged 30-44': (20, 6.0), u'non-us users': (40, 5.7), u'females aged 18-29': (1, 5.0), u'us users': (72, 5.8), u'top 1000 voters': (32, 5.4), u'males aged 45+': (70, 5.6)}","[u'Finland:K-16', u'Sweden:15']",,,[u'Black and White'],,
